question	query
who is working in renewable energy?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Energy> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "energy")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in web3 Social?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Social> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "web3 social")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in PoliticsActivism?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:PoliticsActivism> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "politics") || CONTAINS(LCASE(?knowledge), "activism")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in nature solutions?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Nature> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "nature")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in innovation?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Innovation> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "innovation")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in industry?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Industry> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "industry")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in health?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Health> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "health")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in fundraising or investment?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:FundraisingInvestment> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "fundraising") || CONTAINS(LCASE(?knowledge), "investment")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in food or agriculture?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:FoodAgriculture> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "food") || CONTAINS(LCASE(?knowledge), "agriculture")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in infrastructure?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:DigitalInfrastructure> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "infrastructure")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in carbon?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Carbon> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "carbon")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in education?	SELECT ?name WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Education> . ?entity <http://schema.org/name> ?name . } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsAbout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "education")) . ?entity <http://schema.org/name> ?name . } FILTER (!STRSTARTS(STR(?entity), "_:")) }
what organizations are working in renewable energy?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Energy> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in web3 Social?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Social> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in PoliticsActivism?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:PoliticsActivism> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in nature solutions?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Nature> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in innovation?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Innovation> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in industry?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Industry> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in health?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Health> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in fundraising or investment?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:FundraisingInvestment> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in food or agriculture?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:FoodAgriculture> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in infrastructure?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:DigitalInfrastructure> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in carbon?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Carbon> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in education?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Education> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
