SubjectType	Predicate	ObjectType	Embedding
Organization	http://schema.org/foundedYear	http://www.w3.org/2001/XMLSchema#integer	Organization, foundedYear, integer
Organization	http://schema.org/industry	http://www.w3.org/2001/XMLSchema#string	Organization, industry, String
Organization	http://schema.org/investor	Person	Organization, investor, Person
Organization	http://schema.org/location	http://www.w3.org/2001/XMLSchema#string	Organization, location, String
Organization	http://schema.org/name	http://www.w3.org/2001/XMLSchema#string	Organization, name, String
Organization	http://schema.org/impactScore	http://www.w3.org/2001/XMLSchema#integer	Organization, impactScore, integer
Organization	http://schema.org/issuedBy	Organization	Organization, issuedBy, Organization
Organization	http://schema.org/products	Product	Organization, products, Product
Person	http://schema.org/investedIn	Organization	Person, investedIn, Organization
Person	http://schema.org/location	http://www.w3.org/2001/XMLSchema#string	Person, location, String
Person	http://schema.org/name	http://www.w3.org/2001/XMLSchema#string	Person, name, String
Product	http://schema.org/category	http://www.w3.org/2001/XMLSchema#string	Product, category, String
Product	http://schema.org/launchYear	http://www.w3.org/2001/XMLSchema#integer	Product, launchYear, integer
Product	http://schema.org/manufacturer	Organization	Product, manufacturer, Organization
Product	http://schema.org/name	http://www.w3.org/2001/XMLSchema#string	Product, name, String